word_id,word,source
13551,congenital,buntan
13552,monolingual,buntan
13553,neurological,buntan
13554,rewire,buntan
13555,multitasking,buntan
13556,alzheimer's,buntan
13557,code switching,buntan
13558,multilingualism,buntan
13559,overprescribe,buntan
13560,impervious to,buntan
13561,medical intervention,buntan
13562,alternative treatment,buntan
13563,break out of,buntan
13564,e. coli,buntan
13565,microbiologist,buntan
13566,dermatology,buntan
13567,dosage,buntan
13568,overexpose,buntan
13569,double-helix structure,buntan
13570,as anticipated,buntan
13571,set in,buntan
13572,wear and tear,buntan
13573,infrared light,buntan
13574,regenerative medicine,buntan
13575,spray-on,buntan
13576,right around the corner,buntan
13577,concurrent,buntan
13578,grievous,buntan
13579,stem cell,buntan
13580,retinal,buntan
13581,amputee,buntan
13582,self-generation,buntan
13583,iconic,buntan
13584,round up,buntan
13585,holding pen,buntan
13586,booming,buntan
13587,astoundingly,buntan
13588,mouthwatering,buntan
13589,unsustainable,buntan
13590,borne,buntan
13591,under fire,buntan
13592,laden,buntan
13593,bring a to bear,buntan
13594,prohibitive,buntan
13595,centipede,buntan
13596,unwittingly,buntan
13597,legitimately,buntan
13598,thorny,buntan
13599,perforate,buntan
13600,decimation,buntan
13601,the red list,buntan
13602,overfishing,buntan
13603,aquaculture,buntan
13604,phylogenetic tree,buntan
13605,back down on,buntan
13606,light pollution,buntan
13607,skyglow,buntan
13608,collide into,buntan
13609,lifespan,buntan
13610,catch on,buntan
13611,fluorescent light,buntan
13612,noise pollution,buntan
13613,invasive species,buntan
13614,native species,buntan
13615,prey on,buntan
13616,hold the title of,buntan
13617,ecosystem,buntan
13618,natural selection,buntan
13619,unsound,buntan
13620,tally up,buntan
13621,inverse correlation,buntan
13622,irretrievably,buntan
13623,ill-founded,buntan
13624,desertification,buntan
13625,multitudes of,buntan
13626,have yet to do,buntan
13627,ice sheet,buntan
13628,credence,buntan
13629,ocean floor,buntan
13630,build up,buntan
13631,add up to,buntan
13632,tipping point,buntan
13633,bring about,buntan
13634,be prone to,buntan
13635,salinity,buntan
13636,keep track of,buntan
13637,low atmospheric pressure,buntan
13638,oceanography,buntan
13639,brackish water,buntan
13640,spell out,buntan
13641,imperil,buntan
13642,nesting pair,buntan
13643,on the brink of,buntan
13644,be taken aback,buntan
13645,hammer out,buntan
13646,implementation,buntan
13647,environmentalism,buntan
13648,fungicide,buntan
13649,nutritional value,buntan
13650,be apt to do,buntan
13651,rule out,buntan
13652,tune out,buntan
13653,be resigned to doing,buntan
13654,to an extent,buntan
13655,malnutrition,buntan
13656,haul in,buntan
13657,crustacean,buntan
13658,be swamped with,buntan
13659,sit on,buntan
13660,nibble away at,buntan
13661,balk at,buntan
13662,crawfish,buntan
13663,tracking device,buntan
13664,adhere to,buntan
13665,veterinary,buntan
13666,hint at,buntan
13667,give a credit for b,buntan
13668,put a to work,buntan
13669,cognitive scientist,buntan
13670,follow-up,buntan
13671,acuity,buntan
13672,scrounger,buntan
13673,get through,buntan
13674,quadrupedal,buntan
13675,fungi,buntan
13676,wilderness area,buntan
13677,covertly,buntan
13678,die-off,buntan
13679,clear-cutting,buntan
13680,infestation,buntan
13681,condemn a to b,buntan
13682,stereotypically,buntan
13683,engage in,buntan
13684,bachelor's degree,buntan
13685,transcript,buntan
13686,heated,buntan
13687,higher education,buntan
13688,pummel,buntan
13689,inflatable,buntan
13690,mallet,buntan
13691,verbally,buntan
13692,corporal punishment,buntan
13693,slanted,buntan
13694,senility,buntan
13695,skewed,buntan
13696,cognizant,buntan
13697,banishment,buntan
13698,intermarriage,buntan
13699,correlate,buntan
13700,quantitative,buntan
13701,worldview,buntan
13702,forebear,buntan
13703,slaughterhouse,buntan
13704,factory farm,buntan
13705,cramped,buntan
13706,surreptitious,buntan
13707,whistle-blower,buntan
13708,unconstitutional,buntan
13709,on the books,buntan
13710,husbandry,buntan
13711,inhumane,buntan
13712,enlisted,buntan
13713,chain of command,buntan
13714,systemic,buntan
13715,bear fruit,buntan
13716,personnel file,buntan
